videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0272_config][QP28]_VCA_540,2.0489643,2.3708425,2.0492997,2.3986554,2.0545285,2.3960154,2.0500538,2.3931131,2.0344102,2.3771157,116.56169,71.47221,115.56644,68.46848,116.121544,68.11735,117.354996,69.51665,117.56483,68.85312,0.0,48.899296,48.880795,51.402782,51.962357,51.701786,52.839146,51.25619,52.15649,52.768562,0.0,0.0,5.44631,8.850547,4.85936,7.7033277,4.9220695,8.845338,4.2256036,8.994666
[RA][test0272_config][QP28]_SITI_540,132.43907,103.1979,131.79507,100.43433,132.42073,100.28924,133.4945,101.30277,133.62979,101.568825,0.0,78.10244,78.931465,78.12123,78.85,78.706955,79.23135,78.75676,78.83535,78.76311,0.0,0.0,59.787388,43.80023,59.137512,41.73496,59.72932,43.919483,58.471252,41.366764
[RA][test0284_config][QP30]_EVCA_540,1.803336,2.5318081,1.8051912,2.5335846,1.8076386,2.5370622,1.80906,2.537645,1.80796,2.536727,120.78213,101.18643,121.17211,101.33926,121.27029,101.11307,121.47677,101.197914,121.39296,101.44385,0.0,107.04122,107.15751,107.131096,107.2408,107.146286,107.113686,107.42855,107.365715,107.38993,0.0,0.0,73.15002,56.785217,72.1408,57.345497,71.47969,56.41585,74.02691,57.145046
[RA][test0284_config][QP30]_VCA_540,1.803336,2.5318081,1.8051912,2.5335846,1.8076386,2.5370622,1.80906,2.537645,1.80796,2.536727,120.78213,101.18643,121.17211,101.33926,121.27029,101.11307,121.47677,101.197914,121.39296,101.44385,0.0,45.12758,45.04278,45.114693,44.779514,45.035786,44.801167,45.02593,44.960735,44.893852,0.0,0.0,1.7500495,1.8491814,1.8866037,1.9414523,1.6364964,1.9352701,1.7491897,2.166062
[RA][test0284_config][QP30]_SITI_540,139.43028,135.15787,139.95874,135.09785,139.83003,135.25078,140.08893,135.1273,140.13547,135.2676,0.0,82.44387,82.35269,82.45576,82.235886,82.207634,82.12276,82.115326,82.08527,82.05093,0.0,0.0,58.112873,43.509304,58.023876,43.487457,57.08607,42.43912,57.20313,43.270226
[RA][test0338_config][QP26]_EVCA_540,1.4781826,1.8067085,1.4781823,1.8066493,1.4783782,1.8064102,1.4781634,1.8065163,1.4789728,1.808192,20.804914,49.177917,20.804935,49.174683,20.817951,49.206924,20.825329,49.182503,20.895369,48.92694,0.0,46.196648,46.196617,46.195435,46.198025,46.214382,46.214226,46.195736,46.20947,45.96852,0.0,0.0,0.0018581173,0.5599959,0.18349908,1.2168783,0.19111668,0.91922545,0.9241684,3.464516
[RA][test0338_config][QP26]_VCA_540,1.4781826,1.8067085,1.4781823,1.8066493,1.4783782,1.8064102,1.4781634,1.8065163,1.4789728,1.808192,20.804914,49.177917,20.804935,49.174683,20.817951,49.206924,20.825329,49.182503,20.895369,48.92694,0.0,39.711014,39.710995,39.700512,39.70263,39.721752,39.72289,39.689255,39.700024,39.42976,0.0,0.0,1.9217294e-05,0.012064881,0.012702465,0.03950146,0.008064251,0.047326766,0.07493464,0.3273827
[RA][test0338_config][QP26]_SITI_540,18.084887,105.76266,18.085331,105.797615,18.093052,105.86488,18.093948,105.795685,18.134989,105.11332,0.0,70.05502,70.05502,70.05432,70.055435,70.05285,70.05238,70.05152,70.04431,70.0604,0.0,0.0,0.0069877147,1.2648281,0.07919971,1.6677877,0.08280599,1.3127474,0.48666462,4.5470605
[RA][test0350_config][QP30]_EVCA_540,1.9868958,1.7390486,1.9896944,1.7342601,1.9850986,1.7275159,1.9810252,1.7234751,1.9782217,1.718242,122.817505,63.71308,122.307076,64.13809,122.068825,63.167038,122.63171,63.234985,122.73674,63.180546,0.0,103.61784,103.22133,102.889175,102.93435,103.2906,103.65305,103.64356,103.853874,104.14585,0.0,0.0,76.94515,31.462337,76.8395,30.459902,76.87966,29.89414,76.94112,29.585524
[RA][test0350_config][QP30]_VCA_540,1.9868958,1.7390486,1.9896944,1.7342601,1.9850986,1.7275159,1.9810252,1.7234751,1.9782217,1.718242,122.817505,63.71308,122.307076,64.13809,122.068825,63.167038,122.63171,63.234985,122.73674,63.180546,0.0,62.165215,61.888374,61.611645,61.509464,62.50608,62.94006,63.212402,62.982597,63.02325,0.0,0.0,2.1764498,3.483133,2.2727125,3.1949918,2.351206,2.5990722,1.9661207,2.6681974
